gene_id	gene_name	n_reactions	reaction_ids
g63	COBRAProtein63	1	rxn06874_c0
g64	COBRAProtein64	1	rxn06874_c0
g65	COBRAProtein65	1	rxn06874_c0
g66	COBRAProtein66	1	rxn06874_c0
g67	COBRAProtein67	1	rxn06874_c0
g68	COBRAProtein68	1	rxnNFBS13
g69	COBRAProtein69	1	rxnNFBS1
g70	COBRAProtein70	1	rxnNFBS2
g71	COBRAProtein71	1	rxnNFBS3
g72	COBRAProtein72	1	rxnNFBS11
g73	COBRAProtein73	1	rxnNFBS12
g74	COBRAProtein74	1	rxnNFBS15
g75	COBRAProtein75	1	rxnNFBS15
g76	COBRAProtein76	3	rxnNFBS6;rxnNFBS7;rxnNFBS5
g77	COBRAProtein77	1	rxnNFBS8
g78	COBRAProtein78	1	rxnNFBS9
g79	COBRAProtein79	1	rxn06874_c0
g80	COBRAProtein80	1	rxn00555
g81	COBRAProtein81	2	rxn01187_c0;rxn00548_c0
g82	COBRAProtein82	1	rxn05618_c0
g83	COBRAProtein83	3	rxn10481_c0;rxn05516_c0;rxn05528_c0
g84	COBRAProtein84	1	rxn11937
g85	COBRAProtein85	1	rxn11937
g86	COBRAProtein86	1	rxn11937
g87	COBRAProtein87	1	rxn11937
g88	COBRAProtein88	1	rxn11937
g89	COBRAProtein89	1	rxn11937
g90	COBRAProtein90	2	rxn03990_c0;rxn03991_c0
g91	COBRAProtein91	1	rxn06874_c0
g92	COBRAProtein92	1	rxn06874_c0
g93	COBRAProtein93	1	rxn00058
g94	COBRAProtein94	1	rxn00058
g95	COBRAProtein95	1	rxn00058
g96	COBRAProtein96	1	rxn00058
g97	COBRAProtein97	1	rxn10120
g98	COBRAProtein98	1	rxn10120
g99	COBRAProtein99	1	rxn10120
g100	COBRAProtein100	1	rxn10120
g101	COBRAProtein101	1	rxn10120
g102	COBRAProtein102	1	rxn10120
g103	COBRAProtein103	1	rxn05890
g104	COBRAProtein104	1	rxn05890
g105	COBRAProtein105	1	rxn01806
g106	COBRAProtein106	1	rxn01806
g107	COBRAProtein107	1	rxn01806
g108	COBRAProtein108	1	rxn01806
g109	COBRAProtein109	1	rxn01806
g110	COBRAProtein110	1	rxn00763_c0
g111	COBRAProtein111	1	rxn05638_c0
g112	COBRAProtein112	1	rxn01101
g113	COBRAProtein113	3	rxn02268_c0;rxn00868_c0;rxn01923_c0
g114	COBRAProtein114	1	rxn01011
g115	COBRAProtein115	1	rxn02168_c0
g116	COBRAProtein116	1	rxn05549_c0
g117	COBRAProtein117	1	rxn05549_c0
g118	COBRAProtein118	2	rxn02102_c0;rxn02103_c0
g119	COBRAProtein119	4	rxn12639;rxn00650_c0;rxn12638;rxn12642
g120	COBRAProtein120	2	rxn00422_c0;rxn00272
g121	COBRAProtein121	1	rxn10131
g122	COBRAProtein122	1	rxn10131
g123	COBRAProtein123	1	rxn00395
g124	COBRAProtein124	1	rxn00394
g125	COBRAProtein125	1	rxn00926
g126	COBRAProtein126	1	rxn05201_c0
g127	COBRAProtein127	1	rxn00926
g128	COBRAProtein128	1	rxn00469
g129	COBRAProtein129	1	rxn01101
g130	COBRAProtein130	1	rxn00160_c0
g131	COBRAProtein131	1	rxn00509
g132	COBRAProtein132	1	rxn06077_c0
g133	COBRAProtein133	1	rxn05549_c0
g134	COBRAProtein134	1	rxn05549_c0
g135	COBRAProtein135	1	rxn05153
g136	COBRAProtein136	1	rxn05153
g137	COBRAProtein137	3	rxn02268_c0;rxn00868_c0;rxn01923_c0
g138	COBRAProtein138	1	rxn01013_c0
g139	COBRAProtein139	1	rxn03004
g140	COBRAProtein140	1	rxn00908
g141	COBRAProtein141	1	rxnRB6
g142	COBRAProtein142	1	rxn10168_c0
g143	COBRAProtein143	1	rxn10168_c0
g144	COBRAProtein144	1	rxn10168_c0
g145	COBRAProtein145	1	rxnRB4
g146	COBRAProtein146	1	rxn00717_c0
g147	COBRAProtein147	1	rxn00006
g148	COBRAProtein148	1	rxn04786
g149	COBRAProtein149	1	rxn07465
g150	COBRAProtein150	1	rxnRB3
g151	COBRAProtein151	1	rxnRB2
g152	COBRAProtein152	1	rxnRB1
g153	COBRAProtein153	1	rxnRB3
g154	COBRAProtein154	1	rxnRB6
g155	COBRAProtein155	3	rxnBLTPcpd00208;rxnBLTPcpd04349;rxnBLTPcpd02274
g156	COBRAProtein156	1	rxn00931
g157	COBRAProtein157	1	rxn00006
g158	COBRAProtein158	1	rxn05549_c0
g159	COBRAProtein159	1	rxn00186
g160	COBRAProtein160	2	rxn00527;rxn05036
g161	COBRAProtein161	1	rxnBLTPcpd00149
g162	COBRAProtein162	1	rxnBLTPcpd00149
g163	COBRAProtein163	1	rxnBLTPcpd00149
g164	COBRAProtein164	1	rxn05651
g165	COBRAProtein165	1	rxn01134_c0
g166	COBRAProtein166	1	rxn01101
g167	COBRAProtein167	1	rxn05549_c0
g168	COBRAProtein168	1	rxn00717_c0
g169	COBRAProtein169	1	rxn03393
g170	COBRAProtein170	1	rxn00881_c0
g171	COBRAProtein171	1	rxn00881_c0
g172	COBRAProtein172	1	rxn04792
g173	COBRAProtein173	1	rxn00847
g174	COBRAProtein174	1	rxn00847
g175	COBRAProtein175	1	rxn00847
g176	COBRAProtein176	2	rxnGFTPcpd00242;rxnBLTPcpd00378
g177	COBRAProtein177	2	rxnGFTPcpd00242;rxnBLTPcpd00378
g178	COBRAProtein178	2	rxnGFTPcpd00242;rxnBLTPcpd00378
g179	COBRAProtein179	2	rxnGFTPcpd00242;rxnBLTPcpd00378
g180	COBRAProtein180	2	rxnGFTPcpd00242;rxnBLTPcpd00378
g181	COBRAProtein181	1	rxn04791
g182	COBRAProtein182	1	rxn01116
g183	COBRAProtein183	1	rxn00018
g184	COBRAProtein184	1	rxn00018
g185	COBRAProtein185	2	rxn01334;rxn00786
g186	COBRAProtein186	2	rxn00785;rxn01200
g187	COBRAProtein187	1	rxn01111
g188	COBRAProtein188	2	rxn00549;rxn01345
g189	COBRAProtein189	1	rxn01997
g190	COBRAProtein190	1	rxn00609_c0
g191	COBRAProtein191	1	rxn01635
